Title,ImgUrl,Date,AccessionNumber,Medium,Location
Shabti of Yuya,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.56-DT541.jpg,ca. 1390–1352 B.C.,30.8.56,"Cedar, gold, paint",The Met Fifth Avenue in Gallery 119
Arm Panel From a Ceremonial Chair of Thutmose IV,http://images.metmuseum.org/CRDImages/eg/web-thumb/DT538.jpg,ca. 1400–1390 B.C.,30.8.45a–c,Wood (ficus sycomorus?),The Met Fifth Avenue in Gallery 119
Strainer,http://images.metmuseum.org/CRDImages/eg/web-thumb/DT1012.jpg,ca. 1070–712 B.C.,30.8.369,Gold,The Met Fifth Avenue in Gallery 125
Canopic Jar with a Lid in the Shape of a Royal Woman's Head,http://images.metmuseum.org/CRDImages/eg/web-thumb/DT227703.jpg,ca. 1349–1336 B.C. or shortly thereafter,30.8.54,"Travertine (Egyptian alabaster), blue glass, obsidian, unidentified stone",The Met Fifth Avenue in Gallery 121
Shabti of Yuya,http://images.metmuseum.org/CRDImages/eg/web-thumb/30.8.57-DT541.jpg,ca. 1390–1352 B.C.,30.8.57,"Cedar, paint, Egyptian blue",The Met Fifth Avenue in Gallery 119
Conical Boss from a Bowl,http://images.metmuseum.org/CRDImages/eg/web-thumb/DT1013.jpg,ca. 1070–712 B.C.,30.8.371,Gold,The Met Fifth Avenue in Gallery 125
Rouen Cathedral: The Portal (Sunlight),http://images.metmuseum.org/CRDImages/ep/web-thumb/DT2185.jpg,1894,30.95.250,Oil on canvas,The Met Fifth Avenue in Gallery 819
Hair Comb Decorated with Rows of Wild Animals,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP249011.jpg,ca. 3200–3100 B.C.,30.8.224,Ivory,The Met Fifth Avenue in Gallery 101
Standing figure of Amenhotep III,http://images.metmuseum.org/CRDImages/eg/web-thumb/EG57_30.8.74.jpg,ca. 1391–1353 B.C.,30.8.74,Serpentine,The Met Fifth Avenue in Gallery 119
Statuette of a Royal (?)  Woman with the Cartouches of Necho II on her Arms,http://images.metmuseum.org/CRDImages/eg/web-thumb/DP139132.jpg,610–595 B.C.,30.8.93,Silver,The Met Fifth Avenue in Gallery 127
